,Designation,Age,Gender,Requirement Stability,Requirement Change Frequency,Deadline Crossing Tendency,Deadline Crossing Frequency,Design Change,Adapting New Technology,Testability,Change Flexibility,Task Satisfaction,Fault Occurrence Frequency,Budget Extension,Efficiency,Reusability,Portability
0,Intern,23,0,5,4,1,5,3,2,4,1,3,3,3,4,3,4
1,Associate Software Engineer,25,0,4,2,1,3,5,2,3,1,5,4,4,4,2,2
2,Intern,27,1,3,5,1,2,4,4,2,1,5,3,4,2,2,1
3,Software Engineer,23,0,3,2,1,2,5,1,1,1,5,3,4,2,2,1
4,Intern,23,0,4,3,1,3,3,5,4,1,5,3,4,3,3,2
5,Software Engineer,23,0,4,4,1,3,4,5,1,1,5,3,4,4,4,4
6,Assistant Programmer,28,1,4,3,1,2,2,3,3,0,5,4,2,1,1,4
7,Software Engineer,24,0,5,2,1,1,5,4,2,1,5,4,3,4,3,4
8,Software Engineer,29,0,4,5,1,3,4,5,3,1,5,3,3,1,4,2
9,Junior Software Engineer,28,0,4,3,1,2,3,4,3,1,5,3,3,4,3,2
10,Intern,25,0,4,3,1,2,3,3,2,1,3,4,3,3,2,4
11,Software Engineer,29,1,4,3,1,2,4,5,3,1,5,3,3,4,4,4
12,Senior Software Engineer,26,0,3,2,1,2,4,3,2,1,5,4,4,3,3,1
13,Software Engineer,23,1,5,2,1,2,3,3,2,1,3,4,3,3,2,2
14,Associate Software Engineer,30,1,5,5,1,4,4,5,4,1,5,3,3,3,4,4
15,Intern,24,0,4,4,1,2,4,4,2,1,5,2,4,4,3,3
16,Associate Software Engineer,22,0,3,2,1,1,4,2,3,1,5,4,5,3,3,3
17,Intern,24,1,4,3,1,2,4,4,3,1,3,3,4,2,3,1
18,Software Engineer,27,1,4,2,1,1,2,4,3,1,3,3,3,3,3,1
19,Software Engineer,24,0,3,2,1,2,4,5,4,1,5,3,3,2,2,4
20,Senior Software Engineer,25,0,4,3,1,1,4,2,3,1,5,3,4,4,3,1
21,Associate Software Engineer,27,1,4,3,1,3,5,4,4,0,5,5,4,4,4,4
22,Intern,28,1,3,4,1,2,3,5,3,0,5,3,3,2,3,3
23,Intern,26,0,2,2,1,1,3,4,2,0,5,3,3,3,2,1
24,Associate Software Engineer,28,0,4,4,1,4,4,5,4,1,4,4,5,3,3,4
25,Associate Software Engineer,26,0,3,2,1,3,5,4,3,1,5,2,4,3,4,3
26,Associate Software Engineer,22,0,3,3,1,4,5,5,5,1,5,5,5,2,3,5
27,Junior Software Engineer,30,0,3,5,1,2,4,3,5,1,3,3,4,2,3,1
28,Senior Software Engineer,24,0,3,2,1,2,2,4,3,1,5,3,3,2,4,2
29,Software Engineer,29,1,4,5,1,3,4,3,2,1,5,4,3,3,2,2
30,Junior Software Engineer,23,0,4,4,1,3,4,5,4,1,5,3,5,2,3,3
31,Senior Software Engineer,28,0,5,5,1,2,3,4,4,1,3,4,3,3,4,5
32,Associate Software Engineer,25,0,3,2,1,2,4,3,3,1,5,3,3,1,2,4
33,Software Engineer,23,0,4,2,1,5,3,5,5,1,5,3,4,4,2,3
34,Software Engineer,25,0,3,4,1,3,4,5,3,1,5,3,3,3,3,1
35,Associate Software Engineer,22,1,2,2,1,3,4,3,3,1,5,3,4,4,3,3
36,Senior Software Engineer,30,0,5,5,1,2,3,5,3,1,5,4,4,2,3,2
37,Software Engineer,25,0,4,5,1,2,4,2,4,1,5,3,3,1,4,3
38,Intern,23,0,4,5,1,1,4,5,3,1,5,4,5,4,4,4
39,Software Engineer,23,0,5,5,1,5,5,5,3,1,5,3,5,5,5,3
40,Software Engineer,29,0,2,2,1,3,4,3,3,1,3,3,3,3,3,2
41,Associate Software Engineer,25,0,3,2,1,2,2,5,4,1,5,5,4,5,3,2
42,Intern,23,0,4,3,1,2,4,5,3,1,5,3,4,4,2,1
43,Associate Software Engineer,24,1,3,3,1,2,4,3,3,1,5,3,3,2,2,3
